Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Categoría (product.metafields.custom.contexto),Bundle Discount Rate (product.metafields.c_f.bundle_discount_rate),Dimensiones (product.metafields.c_f.dimensions),Grouped Sub Product (product.metafields.c_f.grouped_sub_product),Material (product.metafields.c_f.material),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Tamaño de accesorio (product.metafields.shopify.accessory-size),Grupo de edad (product.metafields.shopify.age-group),Tipo de joyería corporal (product.metafields.shopify.body-jewelry-type),Diseño de la pulsera (product.metafields.shopify.bracelet-design),Tipo de eslabón de cadena (product.metafields.shopify.chain-link-type),Color (product.metafields.shopify.color-pattern),Diseño de aretes (product.metafields.shopify.earring-design),Color del instrumento (product.metafields.shopify.instrument-color),Material de joyería (product.metafields.shopify.jewelry-material),Tipo de joyería (product.metafields.shopify.jewelry-type),Material (product.metafields.shopify.material),Diseño de collar (product.metafields.shopify.necklace-design),Diseño de anillo (product.metafields.shopify.ring-design),Tamaño del anillo (product.metafields.shopify.ring-size),Sexo objetivo (product.metafields.shopify.target-gender),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Impulsos de productos en la búsqueda (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Included / United States,Price / United States,Compare At Price / United States,Status
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
topitos-de-seguridad-glow,Topitos de seguridad Glow,"<p>Los <strong>Topitos de Seguridad Glow</strong> combinan una base con una piedra transparente facetada que refleja la luz con elegancia. Se sienten ligeros, suaves al contacto y firmes en el lóbulo, pensados para usarlos a diario sin molestias. Su estilo minimalista hace que combinen con cualquier look, desde lo más relajado hasta lo más elegante.<br></p>
<p>Fabricados en <strong>acero quirúrgico hipoalergénico</strong>, son r<strong>esistentes al agua</strong> y pensados para mujeres que buscan una joya discreta, segura y luminosa. </p>",Blunua,Ropa y accesorios > Joyería > Joyas para piercings,Piercings,"Body piercing, cristales, Crystal, for her, para ella, Piercing, Piercing Her, Piercings, Zirconia",TRUE,Color,dorado,product.metafields.shopify.color-pattern,,,,,,,TS029DOXXW,0,shopify,deny,manual,85000,,TRUE,TRUE,,,,,TS029DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS029DOXXW-dorado-Topitos-de-Seguridad-Glow-uso.jpg?v=1756434948,1,,FALSE,,,,,,,,,,,,,,mujer,,"  <p><ul>
    <li><strong>Largo:</strong> 0.7 cm</li>
    <li><strong>Diámetro:</strong> 0.3 cm</li>
    <li>Sistema Rosca de seguridad</li>
  <p></ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,3,,adultos; adults,,,,dorado; plateado,,,acero-inoxidable,joyeria-fina; fine-jewelry; joyas-de-imitacion,,,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS029DOXXW-dorado-Topitos-de-Seguridad-Glow-uso.jpg?v=1756434948,g,,,TRUE,,,TRUE,,,active
topitos-de-seguridad-glow,,,,,,,,,plateado,,,,,,,,TS029PLXXW,0,shopify,deny,manual,85000,,TRUE,TRUE,,,,,TS029PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS029PLXXW-plateado-Topitos-de-Seguridad-Glow-uso.jpg?v=1756434950,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/TS029PLXXW-plateado-Topitos-de-Seguridad-Glow-uso.jpg?v=1756434950,g,,,,,,,,,
collar-drop,Collar Drop,"<p>El <strong>Collar Drop</strong> es ese detalle delicado que le da un toque especial a cualquier look. Su cadena fina en acero quirúrgico se combina con un colgante en forma de gota que aporta un aire femenino y sutil.<br>Elaborado en <strong>acero quirúrgico, es hipoalergénico, resistente al agua</strong> y no cambia de color, ideal para acompañarte siempre. </p>",Blunua,Ropa y accesorios > Joyería > Collares,,,FALSE,Plateado,plateado-1,product.metafields.shopify.color-pattern,,,,,,,CO214PLXXW,0,shopify,deny,manual,79000,,TRUE,TRUE,,,,,CO214PLXXW,,,,FALSE,,,,,,,,,,,,,,,,"<p><ul>
    <li><strong>Largo total:</strong>42 cm aprox.</li>
    <li><strong>Ancho dije:</strong>4 mm </li>
    <p></ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,,,,,,,plateado-1,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,draft
aretes-aster,Aretes Aster,"<p>Los <strong>Aretes Aster</strong> combinan delicadeza y color en un diseño lleno de movimiento. Su estructura en acero quirúrgico se complementa con perlas colgantes en tonos suaves, creando un efecto armonioso, femenino y diferente.<br>Fabricados en <strong>acero quirúrgico, son hipoalergénicos, resistentes al agua</strong> y no cambian de color, pensados para acompañarte siempre manteniendo su apariencia impecable.<br></p>",Blunua,Ropa y accesorios > Joyería > Pendientes,Aretes,"Aretes, Aretes for her, Aretes Her, Dorado, madres26, para ella, para ellas, Regalo, Regalos",TRUE,Color,Dorado,,,,,,,,AR096DOXXW,0,shopify,deny,manual,98000,,TRUE,TRUE,,,,,AR096DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AR096DOXXW_dorado_aretes-aster_lf_d1868bf1-6320-43fd-b08e-b5588059ace3.jpg?v=1776435827,1,,FALSE,,"Aretes en acero quirúrgico con perlas de colores. Hipoalergénicos, resistentes al agua, no cambian de color. Aretes colgantes elegantes.",,,,,,,,,,,,,,"<ul>
<li><strong>Diámetro bolita</strong>:  5 mm </li>
<li><strong>Largo total</strong>:  3 cm aprox.</li>
</ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,,,adultos,,,,dorado,,,banado-en-oro; acero-inoxidable,fine-jewelry; joyeria-fina,acero-inoxidable,,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AR096DOXXW_dorado_aretes-aster_lf_d1868bf1-6320-43fd-b08e-b5588059ace3.jpg?v=1776435827,g,,,TRUE,,,TRUE,,,active
aretes-aster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/AR096DOXXW_dorado_aretes-aster_uso_940249a0-54d2-4357-88e6-1d529d2731e4.jpg?v=1776435828,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aretes-aster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_688719bd-4f1a-411c-a45b-fd210a05d305.jpg?v=1776457630,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-aster,Collar Aster,"<p>El <strong>Collar Aster</strong> es una pieza delicada que combina color, frescura y elegancia en un diseño único. Su cadena fina en acero quirúrgico se complementa con un detalle central de perlas en tonos suaves y variados, creando un efecto armónico y lleno de personalidad.<br>Fabricado en <strong>acero quirúrgico, es hipoalergénico, resistente al agua</strong> y no cambia de color, diseñado para acompañarte todos los días sin perder su apariencia.<br></p>",Blunua,Ropa y accesorios > Joyería > Collares,Collares Midis,"Collar, collar for her, Collares, Collares Midi, Collares Midi Her, Collares Midis, Collares Midis Her, Dorado, for her, madres26, para ella, para ellas, Regalo, Regalos, Regalos150W",TRUE,Color,dorado,product.metafields.shopify.color-pattern,,,,,,,CO246DOXXW,0,shopify,deny,manual,110000,,TRUE,TRUE,,,,,CO246DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO246DOXXW_dorado_collar-aster_lf_4f05083e-7cab-4dcf-9d6a-1ca327a67e0e.jpg?v=1776435798,1,,FALSE,,"Collar en acero quirúrgico con perlas de colores. Hipoalergénico, resistente al agua, no cambia de color. Cadena delicada ajustable para mujer.",,,,,,,,,,,,,,"<p><ul>
    <li><strong>Largo total:</strong> 44 cm aprox. </li>
    <li><strong>Largo total perlas:</strong>6 cm aprox. </li>
    <p></ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,,,adultos,,,,dorado,,,banado-en-oro; acero-inoxidable,joyeria-fina; fine-jewelry,acero-inoxidable,,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO246DOXXW_dorado_collar-aster_uso_6ea83d0a-693a-4806-b044-1d4dfbffb1a7.jpg?v=1776435798,g,,,TRUE,,,TRUE,,,active
collar-aster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO246DOXXW_dorado_collar-aster_uso_6ea83d0a-693a-4806-b044-1d4dfbffb1a7.jpg?v=1776435798,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar-aster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/Cajitas-Mujer-Ls-1_fbd1e3d3-6f82-4bcd-bc98-349cea762be5.jpg?v=1776457613,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candongas-mist-bold,Candongas Mist Bold,"<p>Las <strong>Candongas Mist Bold</strong> combinan carácter y elegancia en una pieza que no pasa desapercibida. Su diseño de aro con volumen en acero quirúrgico se complementa con una perla colgante que aporta movimiento y un toque sofisticado.<br>Fabricadas en <strong>acero quirúrgico, son hipoalergénicas, resistentes al agua</strong> y no cambian de color, diseñadas para acompañarte siempre manteniendo su apariencia impecable.<br></p>",Blunua,Ropa y accesorios > Joyería > Pendientes,Candongas,"Arete Candongas Her, Aretes, Aretes Candongas, Aretes Candongas Her, Candongas, candongas for her, candongas her, Dorado, for her, madres26, para ella, para ellas, Plateado, Regalo, Regalos, Regalos150W",TRUE,Color,Dorado,,,,,,,,CA121DOXXW,0,shopify,deny,manual,119000,,TRUE,TRUE,,,,,CA121DOXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245DOXXW_candongas-mist-bold_lf_f3110d0f-ae64-4e72-99df-e3733304fe26.jpg?v=1776435687,1,,FALSE,,"Candongas en acero quirúrgico con perla colgante. Hipoalergénicas, resistentes al agua, no cambian de color. Aretes elegantes y modernos.
",,,,,,,,,,,,candongas,,"<ul>
<li><strong>Diámetro candonga</strong>:  1,4 cm.</li>
<li><strong>Ancho candonga</strong>: 5 mm</li>
<li><strong>Largo perla </strong>: 8 mm</li>
<li><strong>Ancho perla</strong>: 6 mm</li>
</ul>",,"<p><ul>
<li>Acero quirúrgico.</li>
<li>Las joyas doradas y rosadas tienen un baño de oro de 14k.</li>
</ul></p>
<p><strong>Características de todas nuestras joyas</strong></p>
<ul>
<li>Al ser fabricadas en acero quirúrgico, son hipoalergénicas.</li>
<li>Resistentes al agua.</li>
<li>Pulidas a mano.</li>
</ul>",,,,adultos,,,,plateado-1; dorado,,,banado-en-oro; acero-inoxidable,joyeria-fina; fine-jewelry,acero-inoxidable,,,,femenino; female,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CO245DOXXW_candongas-mist-bold_lf_f3110d0f-ae64-4e72-99df-e3733304fe26.jpg?v=1776435687,g,,,TRUE,,,TRUE,,,active
candongas-mist-bold,,,,,,,,,Plateado,,,,,,,,CA121PLXXW,0,shopify,deny,manual,119000,,TRUE,TRUE,,,,,CA121PLXXW,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CA121PLXXW_plateado_candongas-mist-bold_lf_67bdcef0-1db4-4198-8bb2-061f01804f37.jpg?v=1776435754,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CA121PLXXW_plateado_candongas-mist-bold_uso_c033e690-bf20-41eb-9b68-be63ef4083ec.jpg?v=1776435754,g,,,,,,,,,
candongas-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CA121PLXXW_plateado_candongas-mist-bold_uso_c033e690-bf20-41eb-9b68-be63ef4083ec.jpg?v=1776435754,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candongas-mist-bold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0052/5123/5938/files/CA121DOXXW_dorado_candongas-mist-bold_uso_e37b1571-3549-428f-92d3-608e8a34cf2e.jpg?v=1776435754,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
